hour,ElImp
0,0.03861776750739817
1,0.03555998191635976
2,0.02715162040558021
3,0.02422320747373679
4,0.02357589220164125
5,0.027920097489236115
6,0.05484470189065377
7,0.1443755908229545
8,0.25763774379219656
9,0.3293776800542545
10,0.35465162619553436
11,0.35802540358764545
12,0.3582556649188643
13,0.3658987865987824
14,0.3652967213012259
15,0.3384046472430633
16,0.2760586392842228
17,0.22180169791478746
18,0.17522004770701102
19,0.1498653784480025
20,0.12919640970269292
21,0.11069231357232927
22,0.08884024691465689
23,0.06361278333119542
