hour,ElImp
0,0.03250596463862703
1,0.023098898126822132
2,0.01951197830169968
3,0.016566800981715014
4,0.02125701074764859
5,0.044565026164681915
6,0.13618248113992903
7,0.268730524417347
8,0.36313842440249644
9,0.44406634996020017
10,0.5162687849050399
11,0.5327197055138377
12,0.5436500858829282
13,0.548598846018869
14,0.5450675860479182
15,0.5362301816958313
16,0.48420661585065516
17,0.4071357739332687
18,0.3455417595658782
19,0.29497992550956414
20,0.22307832695011257
21,0.14418415430067472
22,0.0884359180630728
23,0.054890202267761555
