hour,ElImp
0,0.17501710601585685
1,0.17488634552728546
2,0.1779554404155741
3,0.182159012209469
4,0.1956787418340804
5,0.22215364553615602
6,0.28516933360403524
7,0.35554429596360404
8,0.39132745777740474
9,0.3992846252498416
10,0.3957399479520515
11,0.3919244098462273
12,0.38901576965531126
13,0.3820417528811996
14,0.372438568595369
15,0.35487121620202033
16,0.32626743078792514
17,0.2861896170756201
18,0.24988100029363888
19,0.2235942519295736
20,0.2059722564225627
21,0.19354033345321806
22,0.18378459020326124
23,0.1786449706845178
