hour,ElImp
0,0.16162708030307169
1,0.1609238361433046
2,0.1609527933441662
3,0.1605242260070619
4,0.16751966874369212
5,0.1856869214742392
6,0.2547043104695797
7,0.33475764636597605
8,0.38796702575843395
9,0.4187521229146525
10,0.44314867320312135
11,0.442055906632582
12,0.4393786894853987
13,0.4363004226977868
14,0.4309849046540375
15,0.42534250866282375
16,0.3952357858564609
17,0.3568130188076235
18,0.32821702800077857
19,0.30324346494937415
20,0.25949429462404416
21,0.21320358913169116
22,0.17910194909520563
23,0.16788834690572088
