hour,ElImp
0,0.09840199577789355
1,0.10007234211344193
2,0.10070185427717576
3,0.1024960271547015
4,0.10529278983920777
5,0.12443579388459716
6,0.1857283362658282
7,0.3084547688547414
8,0.44935048190576615
9,0.5229491853397662
10,0.5374832039868117
11,0.5257565450582127
12,0.5360720602275153
13,0.5126775173278222
14,0.45410531364534573
15,0.3821047089418537
16,0.28627876000967734
17,0.208015050292093
18,0.17653610344561824
19,0.15381028055213775
20,0.1359390166372939
21,0.11834348334276917
22,0.10334761751619621
23,0.09777796298687012
