hour,ElImp
0,0.1450106402553412
1,0.1414267911578159
2,0.14047007993823188
3,0.14034557380314772
4,0.14239428629223905
5,0.1656224246014539
6,0.25781667689792676
7,0.37159909414070014
8,0.45732346401487495
9,0.4996186374806073
10,0.5102393867106042
11,0.5211713462250885
12,0.5268941603717534
13,0.5236217759530919
14,0.5117623751212064
15,0.48339129881051435
16,0.43228935629922566
17,0.35725490289672274
18,0.2900740736370893
19,0.24873671021510557
20,0.2128263019043683
21,0.1862341756431972
22,0.16840874296372035
23,0.15438995131185385
