hour,ElImp
0,0.03159073154349109
1,0.03201246923204772
2,0.02958180808072625
3,0.03121549625074185
4,0.03180034900644462
5,0.04068501385834644
6,0.11760409548726378
7,0.36850573393295655
8,0.6078439738406747
9,0.6738559239479637
10,0.6978086962449931
11,0.685029429400671
12,0.6873493929459836
13,0.6728329487108969
14,0.6570230787085861
15,0.6413785881618528
16,0.4838340123950217
17,0.22574064707360378
18,0.0774026863518291
19,0.0566669634389271
20,0.04532622699213723
21,0.04212255615271238
22,0.04361786079367294
23,0.04539285912230377
