hour,ElImp
0,0.15586551617186586
1,0.15237817249630753
2,0.1544690072471264
3,0.15739370084593013
4,0.16772525435497979
5,0.19041016675075714
6,0.2556545400864678
7,0.32447114613718686
8,0.37048875945231047
9,0.3810968989456623
10,0.3840206301612248
11,0.377640509637614
12,0.37120217387733273
13,0.3624641095139144
14,0.3521293007859727
15,0.3384981005099333
16,0.30824716955075
17,0.2788385992552532
18,0.25412154518161123
19,0.23591485301819262
20,0.21376896686575864
21,0.1928431719166517
22,0.17527954228117215
23,0.16642313662968672
