hour,ElImp
0,0.25896373490190716
1,0.22234905496421706
2,0.21321368698602483
3,0.2083795631027339
4,0.21349277755539348
5,0.2386505295529641
6,0.3302583906405071
7,0.40589594651248556
8,0.3727591994162961
9,0.3954919753077388
10,0.3808387613665444
11,0.35919426701748963
12,0.3344250394014302
13,0.32150858439151553
14,0.3249771892578063
15,0.3412409776389168
16,0.3814651944625511
17,0.4203013125548104
18,0.4312824694330087
19,0.4410474026445247
20,0.442527808936497
21,0.4106655336687303
22,0.36738516462785253
23,0.32070678008610254
