hour,ElImp
0,0.2591718307387893
1,0.23122574233746093
2,0.22626520434195657
3,0.22376145390421504
4,0.22725997555756547
5,0.2450032203913678
6,0.32350273514866784
7,0.38193562216845156
8,0.3477720162291624
9,0.3659733724667999
10,0.347576861701356
11,0.3292542576553198
12,0.3084461568593765
13,0.2985199447108917
14,0.3013510402256726
15,0.3179985678331294
16,0.35159411165973353
17,0.38037815936934977
18,0.3932149839195767
19,0.4054629211218302
20,0.4062460636493123
21,0.3862261963530648
22,0.3471173588577524
23,0.309972092145366
