hour,ElImp
0,0.0882438790970961
1,0.08027068703067299
2,0.07694663236807149
3,0.07506639758727035
4,0.07983325231117129
5,0.10530225036375432
6,0.19832939627116195
7,0.33485430783088216
8,0.4470955255962772
9,0.5186422693046593
10,0.5617857410006304
11,0.5725076401795298
12,0.5807060233735373
13,0.5769351702268282
14,0.5626764925143886
15,0.5356533518253234
16,0.47239368989136304
17,0.39112192288195874
18,0.32655713808649856
19,0.2806097103332137
20,0.2278042950917157
21,0.1739802137513775
22,0.1356528220875563
23,0.10834870182824555
