hour,ElImp
0,0.020271338623872617
1,0.0005208045209472613
2,0.005048726672850177
3,0.012751227217264181
4,0.031552848785992245
5,0.13730338814752638
6,0.30219610051839935
7,0.4664437519567397
8,0.6782673669987805
9,0.7984403376313433
10,0.8534421096140125
11,0.878923814765053
12,0.873176008022557
13,0.7599836658907843
14,0.6904915695154595
15,0.6129270827006373
16,0.532751920384949
17,0.5335191027385172
18,0.4644830185455691
19,0.3955202889128622
20,0.3059701079224828
21,0.19899734864454358
22,0.12921946173581572
23,0.05809022213923468
