hour,ElImp
0,0.16871662477006866
1,0.16956231861266935
2,0.17158818611457544
3,0.18325430481112862
4,0.19190490172611707
5,0.22051440084707985
6,0.28851904104502557
7,0.29026460808442334
8,0.37102557818133264
9,0.39779495527389663
10,0.4173080913317159
11,0.4095940654671155
12,0.39964001781831004
13,0.3884317810220062
14,0.37552111506170166
15,0.35980103216655385
16,0.30086159338158525
17,0.2799803291827108
18,0.25626171865422664
19,0.2330555534854683
20,0.21907966018477976
21,0.20570365312055108
22,0.19493724441228644
23,0.17667529081228733
