hour,ElImp
0,0.034448001025430074
1,0.02446120098206753
2,0.020763143616350097
3,0.016885752600723374
4,0.02099783019748268
5,0.04301638059224397
6,0.12962185160784875
7,0.25498998149549923
8,0.3531659704055462
9,0.4443070205989668
10,0.5226617533578868
11,0.5399689858161607
12,0.5507528031990603
13,0.5553224981139826
14,0.5480398521637544
15,0.534977971218661
16,0.48325332965493284
17,0.4094684029777422
18,0.34562590904484786
19,0.2901471578225399
20,0.21743060297428923
21,0.1405922980982019
22,0.08709885084123678
23,0.054761716903672
