hour,ElImp
0,0.10997082799396947
1,0.11149766939917985
2,0.11455944438555596
3,0.11672471410809948
4,0.12572208820294686
5,0.1571740157420547
6,0.21165547185657063
7,0.30390081295324717
8,0.3555338941746595
9,0.3507295447741513
10,0.33075689823179527
11,0.32329107520850026
12,0.3108901129444576
13,0.2907568947287613
14,0.28924502207688607
15,0.281814620348417
16,0.22362587455548721
17,0.15065146822662748
18,0.11418805482738757
19,0.11110574525496014
20,0.11012131416079475
21,0.11399170351645743
22,0.1061556592774961
23,0.11042163943696046
