hour,ElImp
0,0.046626593540780324
1,0.030593486787519792
2,0.023570567152425323
3,0.016225365606834324
4,0.009666525516220359
5,0.02385622152927047
6,0.06726651000729146
7,0.18351570194117936
8,0.4109694503158602
9,0.5864612045087354
10,0.6781323858337234
11,0.7374293251180535
12,0.7571304161924244
13,0.7644738972140115
14,0.7606626707752698
15,0.7256541428441576
16,0.6271735612330817
17,0.5049149701868493
18,0.39968081758375257
19,0.3314347352233694
20,0.27574158499920887
21,0.21245317706273845
22,0.15324564551695255
23,0.09686581684435766
