hour,ElImp
0,0.24917341280405778
1,0.22745014330842883
2,0.2156213076485918
3,0.21381653767962522
4,0.22762259985786631
5,0.2553533364623173
6,0.3698197266229782
7,0.4975429761154817
8,0.46127997309240776
9,0.396329190055352
10,0.35819874140138686
11,0.3282351655952151
12,0.3032619127116815
13,0.29466726541026245
14,0.2878784134488594
15,0.2892810887374941
16,0.2974081129468305
17,0.3151849917378202
18,0.33390785884719515
19,0.3265285488057309
20,0.32878298615438195
21,0.33856788135248755
22,0.33753050552744795
23,0.2982588471959298
