hour,ElImp
0,0.27609395500303235
1,0.25490477756941765
2,0.26058205785953065
3,0.2650314624937187
4,0.2674054756649722
5,0.28195540071403313
6,0.3695693844717867
7,0.43944301448693796
8,0.5770782041990822
9,0.5887311922833564
10,0.6045007734927627
11,0.6183891660076893
12,0.5988962114509209
13,0.5748844375026032
14,0.556749914456647
15,0.5546205447500443
16,0.5389133378977918
17,0.5335949514064029
18,0.4902099293731105
19,0.47092972130123834
20,0.45088181601771266
21,0.41527680427812613
22,0.3976707061583629
23,0.3720150174396142
