hour,ElImp
0,0.35935504359156484
1,0.3027485903380709
2,0.27476535057226514
3,0.2577630236655792
4,0.3048753564693699
5,0.35392407393338865
6,0.46589259811201417
7,0.6576239765607443
8,0.7573356273791485
9,0.7272773525589925
10,0.7054726441185554
11,0.6663861260742678
12,0.6509149041636177
13,0.6287266756415854
14,0.6394482785432861
15,0.6290781613331224
16,0.6160450242856381
17,0.6178883406126442
18,0.6333026345360081
19,0.6335851917411971
20,0.6336078042518265
21,0.5845733683734683
22,0.5564233712595387
23,0.4739244032032803
