hour,ElImp
0,0.020117873386413906
1,0.0004393275470035119
2,0.005062146559837234
3,0.01271787450893105
4,0.03229480920289331
5,0.14148341613733648
6,0.3106246316195969
7,0.4786605247984156
8,0.6951105747683263
9,0.8182930344242721
10,0.8739310370873024
11,0.8978655112995868
12,0.8910443987923025
13,0.7748627788980692
14,0.7026558291032634
15,0.6208741009617728
16,0.5376981480450589
17,0.5364970703003796
18,0.46651739866191166
19,0.39756931900370207
20,0.30732622123799325
21,0.19997541606590138
22,0.12976296002893692
23,0.05824993312914048
