hour,ElImp
0,0.4543164398728149
1,0.41628948489708856
2,0.4057035806947188
3,0.4031122870567316
4,0.40633027611086747
5,0.43075338064562185
6,0.5332311534721322
7,0.623090146424037
8,0.5718194640117116
9,0.6065064338669144
10,0.5958105162963238
11,0.5695327423109364
12,0.547597380254554
13,0.5310186642724866
14,0.5340001230296334
15,0.5452139269400273
16,0.6053878081758426
17,0.6474797368827101
18,0.6564056390523817
19,0.6568159104541368
20,0.6535290553325482
21,0.6206032153350912
22,0.5653506881249715
23,0.5203819237908469
