hour,ElImp
0,0.2805183940309861
1,0.2810947592298456
2,0.2866320924629945
3,0.29228202380619805
4,0.31591594242820636
5,0.35479397143086927
6,0.4404231159625512
7,0.532726114543865
8,0.5711631140217684
9,0.5774291832863006
10,0.5715189902723533
11,0.5626272307325324
12,0.5569254064597724
13,0.5462690258820876
14,0.5338282129281595
15,0.5106497431196692
16,0.4710163874903175
17,0.42077183018323944
18,0.3777975930016193
19,0.33926844961356645
20,0.318699130042085
21,0.3032637287164145
22,0.29011415117168404
23,0.28366417857195136
