hour,ElImp
0,0.09902595675871416
1,0.0905660496613198
2,0.08724071748951426
3,0.08526333464652296
4,0.09054490365537203
5,0.11670598825461646
6,0.21199988441851816
7,0.35176682227106054
8,0.46776567149738874
9,0.5366238658321982
10,0.5778046925122284
11,0.5842602953653757
12,0.5899129623144247
13,0.5830184026035602
14,0.5636314310443666
15,0.5332572606351754
16,0.4678950106326544
17,0.39331412744470334
18,0.3411471069418114
19,0.29543942044216587
20,0.24162589914549176
21,0.18678519298317028
22,0.1472036131548875
23,0.11955408456328201
