hour,ElImp
0,0.32738240318607625
1,0.32550424466042516
2,0.3253905618197517
3,0.3443476642653954
4,0.34946216204603847
5,0.3905457007486227
6,0.47724112649005107
7,0.4803888478390154
8,0.5905322400962956
9,0.6260043087388811
10,0.6468848025720919
11,0.6340904745944859
12,0.6250768790826279
13,0.6063992908794422
14,0.5881433636478985
15,0.5691293237925706
16,0.4810951784902712
17,0.46860077118799537
18,0.440486872919466
19,0.4124524274465122
20,0.3974298440889608
21,0.38401528551369385
22,0.37003977143063194
23,0.34073710731108114
