hour,ElImp
0,0.03506499342150107
1,0.024550757341028732
2,0.021116702461732077
3,0.01739053203866982
4,0.022628483200898823
5,0.0465900008616961
6,0.14023644560579424
7,0.2756847851576397
8,0.38239757820350617
9,0.4762102852724761
10,0.5545421162627636
11,0.5674669804171317
12,0.5739130139132322
13,0.5741862165431787
14,0.5627598807355478
15,0.547520895771509
16,0.49902597760739387
17,0.4311229957484236
18,0.37130270345058075
19,0.31167360595359817
20,0.23327375890280608
21,0.15041739095485848
22,0.0928507646444279
23,0.058106371774035825
