hour,ElImp
0,0.04629294216067457
1,0.02953552047104392
2,0.022357200453762646
3,0.01440712139370184
4,0.007865494069189495
5,0.021852050799217114
6,0.06430794659739947
7,0.18020866954978002
8,0.41136113701352656
9,0.5914349082448727
10,0.6856772020066099
11,0.7470895144906058
12,0.7677505701387656
13,0.7759462906722182
14,0.77295176640836
15,0.7392721432736473
16,0.6404782863286449
17,0.5148931804670881
18,0.4072722840955248
19,0.3381315748982234
20,0.28065282079874454
21,0.21641023010095178
22,0.15607600339705985
23,0.09856461389080423
