hour,ElImp
0,0.03252869452910779
1,0.023130530255324577
2,0.019528630356808345
3,0.01655209545337601
4,0.02117568891716372
5,0.044361090709888584
6,0.1355253204609188
7,0.2674243856831322
8,0.3615409461104611
9,0.43648196826450275
10,0.5015691719329506
11,0.5129160671316186
12,0.5187881838898707
13,0.5194938194593571
14,0.5129977977819208
15,0.5038411242146386
16,0.4601703208227078
17,0.39574687830549393
18,0.3443704702444492
19,0.293869376332458
20,0.22220614751093334
21,0.14364092910447798
22,0.08813797738685032
23,0.05473397346506302
