hour,ElImp
0,0.39782004349638433
1,0.3733537399658258
2,0.3612216285572425
3,0.357743866718599
4,0.37246884950565207
5,0.4081858538810574
6,0.5480959305251839
7,0.7035854473640778
8,0.6536926657846117
9,0.5797463991273512
10,0.5375397857471073
11,0.5010311340855798
12,0.47280947259566575
13,0.4634651470767855
14,0.45457521414171814
15,0.45844665833673004
16,0.47150120058156786
17,0.4975111712719811
18,0.5169307843099521
19,0.4995989027852417
20,0.4978055891064526
21,0.5062310296818447
22,0.5013665556997572
23,0.4528164441732766
