hour,ElImp
0,0.4407173550789867
1,0.3946003146859442
2,0.38028944066692555
3,0.3754291143882356
4,0.3804452250695316
5,0.41229511539688857
6,0.5276181865334365
7,0.6333436101192153
8,0.5822211895394438
9,0.618614434323855
10,0.6107638955524659
11,0.5813900072286198
12,0.5559867323944411
13,0.5371944543424972
14,0.5412389441828866
15,0.5529486271763615
16,0.6188063836234324
17,0.6703030916894357
18,0.6776968193099893
19,0.676322071841014
20,0.6738716300356644
21,0.6298428037681322
22,0.5718004596360639
23,0.5177673630189541
