hour,ElImp
0,0.2439720332902307
1,0.12282690857367742
2,0.08750944826371322
3,0.0756613756938588
4,0.06906651557504542
5,0.07086167806075598
6,0.13510959947527224
7,0.28150037796892863
8,0.42358276649613014
9,0.5244897960308089
10,0.5181972790240063
11,0.5081065760761605
12,0.4939153439553231
13,0.4825396826521242
14,0.528968253968254
15,0.6787792895335545
16,0.8550453514739229
17,0.9217120181968104
18,0.9509826152845711
19,0.9784958428777571
20,0.9847694633571334
21,0.9108843537977174
22,0.7569538927081576
23,0.4975245654616666
