hour,ElImp
0,0.22202452647314944
1,0.22162145358525873
2,0.23135299454032238
3,0.23800966074070556
4,0.2534209880735808
5,0.28604433756243086
6,0.3732554931762045
7,0.45393107524701204
8,0.5178011228666214
9,0.5195975896508682
10,0.5088577060541968
11,0.4862297662232548
12,0.4828834023652979
13,0.46561591501497346
14,0.43498148906206796
15,0.3936058149662093
16,0.31964494092593443
17,0.2816722668148521
18,0.2673484856149945
19,0.25656453087226105
20,0.2381956211515744
21,0.22614664677273807
22,0.20689007719387648
23,0.21285195739452417
