hour,ElImp
0,0.039621984863530385
1,0.03747475079997939
2,0.028976274921188667
3,0.0261502688158208
4,0.025550837486997317
5,0.03012860954125927
6,0.05899741056198892
7,0.15077952237888131
8,0.26274986549259005
9,0.3321846336508814
10,0.35709163152761547
11,0.3602462223032502
12,0.3582923592919767
13,0.36214932960883284
14,0.3550057026578355
15,0.3201308537481569
16,0.25957012895737636
17,0.2034688790232268
18,0.1753554342905252
19,0.15056493225415282
20,0.12980875210034615
21,0.11186890015460027
22,0.09024914633004942
23,0.06491290079665821
