hour,ElImp
0,0.1473303919085137
1,0.14632183501102292
2,0.14847375123834672
3,0.14980344660970904
4,0.155910396231064
5,0.17776979000321383
6,0.256412289695903
7,0.3997774380885197
8,0.5707296844477068
9,0.6452447212790005
10,0.6608247134360433
11,0.6419731044046245
12,0.6576586048492715
13,0.6349859653616091
14,0.5569508613407061
15,0.47059300012194577
16,0.35540759270156447
17,0.2747984787130194
18,0.2518866751425712
19,0.22731090920422659
20,0.19944149051723514
21,0.1749431551327075
22,0.15190724691347743
23,0.1466008292696443
